No;Code;Jenis ken;NoPolisi;Thn Kendaraan;Warna;NoMesin;NoRangka;KD
166;MF;MITSUBISHI TRUCK 1 - 5 TON LTRFE 74 HD (4X2 M/T);KT8299PA;2009;Kuning;4D34TE21700;MHMFE74P59K017516;K
167;MF;TOYOTA TRUCK 1 - 5 TON DTR130 HT M/T TC;DN8750EY;2010;Merah;W04DTRJ22610;MHFC1JU43A5015168;K
168;MF;TOYOTA TRUCK 1 - 5 TON DTR130 HT M/T TC;DN8768AU;2010;Merah;W04DTRJ13345;MHFC1JU43A5004383;K
169;MF;TOYOTA TRUCK 1 - 5 TON DTR130 HT M/T TC;DN8792AY;2014;Merah;W04DTRJ95786;MHFC1JU43E5099314;K
170;MF;TOYOTA TRUCK 1 - 5 TON DTR130 HT M/T TC;DD8015LY;2013;Merah;W04DTRR00625;MHFC1JU43D5100574;K
171;MF;HINO TRUCK 1 - 5 TON LTR130 HD;DD8422MR;2015;Hijau;W04DTRR20511;MJEC1JG43F5125010;K
172;MF;TOYOTA TRUCK 1 - 5 TON DTR130 HT M/T TC;DN8733BY;2013;Biru;W04DTRJ88764;MHFC1JU43D5092087;K
173;MF;TOYOTA TRUCK 1 - 5 TON DTR130 HT M/T TC;DD8797MQ;2014;Merah;W04DTRR12058;MHFC1JU43E5113502;K
174;MF;MITSUBISHI TRUCK 1 - 5 TON LTRFE 74 HDV (4X2 M/T);KB9223AM;2013;Kuning;4D34TJ49156;MHMFE74P5DK096227;K
175;MF;MITSUBISHI TRUCK 1 - 5 TON TKIFE 74 S (4X2) M/T;KB9507C;2011;Kuning;4D34TG56764;MHMFE74P4BK050283;K
176;MF;MITSUBISHI TRUCK 1 - 5 TON DTRFE 74 HD (4X2 M/T);DP9434HA;2012;Kuning;4D34TH42438;MHMFE74P5CK070585;K
177;MF;TOYOTA TRUCK 1 - 5 TON LTR130 HT M/T TC;DN8470BU;2012;Merah;W04DTRJ67131;MHFC1JU43C5065499;K
